state,district,name,state_rank,national_rank,college_readiness_score,tested_ap_ib,pass_ap_ib,math_score,math_proficient,math_not_proficient,reading_score,reading_proficient,reading_not_proficient,student_teacher_ratio,street_address,city,total_enrollment,total_economically_disadvantaged,receives_title_i_funding,ap_student_performance_participation_rate,ap_student_performance_participant_passing_rate,ap_student_performance_exam_per_test_taker,ap_student_performance_exam_pass_rate
Alabama,Montgomery County,Loveless Academic Magnet Program High School,#1,#18,98.6,100%,69.00%,4,100%,0%,3.8,100%,0%,14:1,921 WEST JEFF DAVIS,"MONTGOMERY, AL 36108",456,11.00%,No,100%,95.00%,6.9,69.00%
Alabama,Mountain Brook City,Mountain Brook High School,#2,#271,58.2,60.0%,89.00%,3.7,98.00%,2.00%,3.6,99.00%,1.00%,12:1,3650 BETHUNE DR,"MOUNTAIN BROOK, AL 35223","1,008",0%,No,60.0%,96.00%,4.8,89.00%
Alabama,Montgomery County,Booker T Washington Magnet High School,#3,#477,47.9,71.00%,37.00%,3.4,99.00%,1.00%,3.4,99.00%,1.00%,15:1,632 SOUTH UNION ST,"MONTGOMERY, AL 36104",479,28.00%,No,71.00%,56.00%,2.7,37.00%
Alabama,Homewood City,Homewood High School,#4,#505,46.7,55.00%,67.00%,3.4,92.00%,8.00%,3.3,91.00%,9.00%,11:1,1901 SOUTH LAKESHORE DR,"HOMEWOOD, AL 35209",988,28.00%,No,55.00%,80.0%,3.9,67.00%
Alabama,Montgomery County,Brewbaker Technology Magnet High School,#5,#719,41,78.00%,27.00%,3.3,100%,0%,3.3,99.00%,1.00%,16:1,4405 BREWBAKER DR,"MONTGOMERY, AL 36116",589,30.0%,No,78.00%,37.00%,2.4,27.00%
Alabama,Auburn City,Auburn High School,#6,#833,38.4,55.00%,58.00%,3.3,95.00%,5.00%,3.3,91.00%,9.00%,16:1,405 SOUTH DEAN RD,"AUBURN, AL 36830","1,444",24.00%,No,55.00%,59.00%,3.3,58.00%
Alabama,Huntsville City,Virgil Grissom High School,#7,#910,36.6,47.00%,67.00%,3.4,96.00%,4.00%,3.3,96.00%,4.00%,18:1,7901 BAILEY COVE RD,"HUNTSVILLE, AL 35802","1,970",15.00%,No,47.00%,71.00%,4,67.00%
Alabama,Huntsville City,New Century Technology Demo High School,#8,#989,35.1,51.00%,32.00%,3.3,99.00%,1.00%,3.4,97.00%,3.00%,16:1,300 EXPLORER BLVD,"HUNTSVILLE, AL 35806",310,40.0%,No,51.00%,59.00%,3.5,32.00%
Alabama,Hartselle City,Hartselle High School,#9,#1010,34.8,51.00%,37.00%,3.4,96.00%,4.00%,3.2,93.00%,7.00%,17:1,904 SOUTH SPARKMAN ST,"HARTSELLE, AL 35640",978,26.00%,No,51.00%,57.00%,3.5,37.00%
Alabama,Madison City,Bob Jones High School,#10,#1135,32.3,44.00%,67.00%,3.4,96.00%,4.00%,3.4,93.00%,7.00%,19:1,650 HUGHES RD,"MADISON, AL 35758","2,285",16.00%,No,44.00%,65.00%,3.3,67.00%
