state,name,college_readiness_score,tested_ap,passed_ap,math_score,math_proficient,math_not_proficient,reading_score,reading_proficient,reading_not_proficient
Alabama,Albertville City,N/A,N/A,N/A,3.1,84%,16%,3,81%,19%
Alabama,Alexander City,12.7,27%,7.70%,3,77%,23%,3,75%,25%
Alabama,Andalusia City,N/A,N/A,N/A,3,86%,14%,3,85%,15%
Alabama,Anniston City,2.6,8%,0.70%,2.7,67%,33%,2.8,74%,26%
Alabama,Arab City,N/A,N/A,N/A,3.3,97%,3%,3.3,93%,7%
Alabama,Athens City,25,31%,23.00%,3.3,96%,4%,3.3,94%,6%
Alabama,Attalla City,N/A,N/A,N/A,2.8,78%,22%,2.9,74%,26%
Alabama,Auburn City,38.4,55%,32.80%,3.3,95%,5%,3.3,91%,9%
Alabama,Autauga County,7.3,10%,6.30%,3,79%,21%,3,84%,16%
Alabama,Baldwin County,10.7,17%,8.80%,3.1,92%,8%,3.1,86%,14%
Alabama,Barbour County,N/A,N/A,N/A,2.7,69%,31%,2.7,62%,38%
Alabama,Bessemer City,4,15%,0.40%,2.5,46%,54%,2.6,56%,44%
Alabama,Bibb County,6.6,20%,2.20%,3,82%,18%,2.9,80%,20%
Alabama,Birmingham City,8.8,26%,3.10%,2.8,71%,29%,2.7,69%,31%
Alabama,Blount County,N/A,N/A,N/A,3,82%,18%,3,84%,16%
Alabama,Boaz City,12.4,22%,9.30%,3.2,92%,8%,3.1,89%,11%
Alabama,Brewton City,13.2,28%,8.20%,3.1,93%,7%,3.2,91%,9%
Alabama,Bullock County,2,8%,0.00%,2.8,80%,20%,2.7,67%,33%
Alabama,Butler County,13.7,50%,1.60%,3,88%,12%,2.9,79%,21%
Alabama,Calhoun County,N/A,N/A,N/A,3,88%,12%,3.1,88%,12%
Alabama,Chambers County,N/A,N/A,N/A,2.7,63%,37%,2.8,73%,27%
Alabama,Cherokee County,16.6,29%,12.40%,3,86%,14%,3.1,85%,15%
Alabama,Chilton County,5.3,9%,4.00%,3,82%,18%,2.9,80%,20%
Alabama,Choctaw County,N/A,N/A,N/A,2.9,81%,19%,2.9,84%,16%
Alabama,Clarke County,N/A,N/A,N/A,3,81%,19%,2.9,74%,26%
Alabama,Clay County,N/A,N/A,N/A,3.1,89%,11%,2.9,77%,23%
Alabama,Cleburne County,17.2,37%,10.40%,2.9,81%,19%,3,79%,21%
Alabama,Coffee County,N/A,N/A,N/A,3.1,90%,10%,3,84%,16%
Alabama,Colbert County,N/A,N/A,N/A,2.8,77%,23%,2.9,77%,23%
Alabama,Conecuh County,9.6,36%,0.90%,2.9,82%,18%,3,86%,14%
Alabama,Coosa County,N/A,N/A,N/A,2.9,86%,14%,2.8,73%,27%
Alabama,Covington County,N/A,N/A,N/A,3.1,86%,14%,3,81%,19%
Alabama,Crenshaw County,N/A,N/A,N/A,3,88%,12%,3.1,87%,13%
Alabama,Cullman City,14.3,18%,12.90%,3.1,95%,5%,3.2,91%,9%
Alabama,Cullman County,N/A,N/A,N/A,3,85%,15%,3,83%,17%
Alabama,Dale County,N/A,N/A,N/A,3.1,92%,8%,3,84%,16%
Alabama,Daleville City,N/A,N/A,N/A,2.9,85%,15%,3,84%,16%
Alabama,Dallas County,N/A,N/A,N/A,2.7,64%,36%,2.6,60%,40%
Alabama,Decatur City,12.2,20%,9.40%,3.1,87%,13%,3,86%,14%
Alabama,DeKalb County School System,N/A,N/A,N/A,2.9,80%,20%,2.9,79%,21%
Alabama,Demopolis City,10.9,18%,8.40%,3.1,94%,6%,3,85%,15%
Alabama,Dothan City,13.7,31%,8.10%,3,89%,11%,3.1,87%,13%
Alabama,Elba City,N/A,N/A,N/A,2.8,73%,27%,2.9,77%,23%
Alabama,Elmore County,11.5,28%,5.90%,3.2,96%,4%,3.2,96%,4%
Alabama,Enterprise City,6.4,12%,4.70%,3.2,92%,8%,3.3,92%,8%
Alabama,Escambia County,N/A,N/A,N/A,3.1,86%,14%,3,83%,17%
Alabama,Etowah County,9.2,20%,5.60%,3,85%,15%,3,85%,15%
Alabama,Eufaula City,12.8,19%,10.60%,3.1,92%,8%,3,82%,18%
Alabama,Fairfield City,5,20%,0.00%,2.6,60%,40%,2.7,72%,28%
Alabama,Fayette County,N/A,N/A,N/A,3,81%,19%,3,80%,20%
Alabama,Florence City,15.7,23%,13.40%,3.3,95%,5%,3.2,89%,11%
Alabama,Fort Payne City,N/A,N/A,N/A,3,91%,9%,3.1,86%,14%
Alabama,Franklin County,N/A,N/A,N/A,3,88%,12%,3,85%,15%
Alabama,Gadsden City,10.9,15%,9.40%,3,87%,13%,3,84%,16%
Alabama,Geneva City,N/A,N/A,N/A,3.1,91%,9%,3.1,85%,15%
Alabama,Geneva County,N/A,N/A,N/A,2.9,80%,20%,2.9,78%,22%
Alabama,Greene County,N/A,N/A,N/A,2.6,62%,38%,2.5,53%,47%
Alabama,Guntersville City,7.1,21%,2.70%,3.1,83%,17%,3,83%,17%
Alabama,Hale County,N/A,N/A,N/A,2.8,82%,18%,2.8,71%,29%
Alabama,Haleyville City,N/A,N/A,N/A,2.9,82%,18%,3,87%,13%
Alabama,Hartselle City,34.8,51%,29.40%,3.4,96%,4%,3.2,93%,7%
Alabama,Henry County,N/A,N/A,N/A,2.8,72%,28%,3,78%,22%
Alabama,Homewood City,46.7,55%,43.90%,3.4,92%,8%,3.3,91%,9%
Alabama,Hoover City,33.1,42%,30.20%,3.3,97%,3%,3.3,94%,6%
Alabama,Houston County,N/A,N/A,N/A,3.2,92%,8%,3,84%,16%
Alabama,Huntsville City,21.5,38%,16.10%,3,78%,22%,3,79%,21%
Alabama,Jackson County,N/A,N/A,N/A,3.1,85%,15%,3,84%,16%
